deal_type,obj_type,district,area_range,count,min_price_sqm,median_price_sqm,max_price_sqm,min_price,median_price,max_price
аренда,Офисное помещение,Червишевский тракт мкр.,31-40,4,327,909,1600,11000,29000,50880
аренда,Свободного назначения,Центр: Драмтеатр,121-130,4,800,1195,1230,101520,150000,150000
аренда,База/склад/производство,null,171-180,4,550,657,1000,99000,115000,180000
аренда,Офисное помещение,Гилевская Роща,51-60,4,630,800,800,33076,45470,45472
аренда,База/склад/производство,Центр: Исторический,21-30,4,809,858,1000,18840,23000,23375
аренда,Торговое помещение,Центр: Драмтеатр,71-80,4,500,2000,2432,40000,147800,180000
аренда,Офисное помещение,Центр: Студгородок,31-40,4,868,1101,1450,32300,35000,47850
аренда,Офисное помещение,Гилевская Роща,31-40,4,500,950,995,18000,29640,31442
аренда,Торговое помещение,Центр: КПД,81-90,4,1350,2000,2045,114750,175000,180000
аренда,Свободного назначения,Ново-Комарово,81-90,4,601,1199,1347,50100,109000,120000
аренда,Свободного назначения,Центр: Драмтеатр,171-180,4,1000,1600,2503,173000,288000,428000
аренда,Торговое помещение,Центр: Дом печати,51-60,4,615,1500,1603,35000,81000,89760
аренда,Свободного назначения,Тюменская слобода мкр.,41-50,4,1012,1592,2500,50000,70400,112500
аренда,Свободного назначения,Центр: Исторический,51-60,4,917,1200,1678,55000,71652,100000
аренда,Свободного назначения,Центр: КПД,11-20,4,940,992,1154,11000,14000,15000
аренда,База/склад/производство,null,431-440,4,228,650,1000,100000,280800,440000
аренда,Свободного назначения,null,71-80,4,450,1380,1600,34880,107650,127200
аренда,Свободного назначения,Европейский мкр.,51-60,4,1083,1500,1540,65000,90000,93000
аренда,Офисное помещение,Центр: Исторический,181-190,4,665,1000,1592,123000,187700,300000
аренда,Свободного назначения,Московский тракт мкр.,21-30,4,601,1000,1200,14000,30000,34320
аренда,Свободного назначения,Центр: Драмтеатр,151-160,4,355,1871,2000,55000,290000,314600
аренда,Свободного назначения,3-й Заречный мкр,61-70,4,1014,1300,1600,65000,84240,102480
аренда,Офисное помещение,Дом Обороны,51-60,4,653,900,1140,36000,54000,65000
аренда,Торговое помещение,1-й Заречный мкр,31-40,4,402,2500,2500,14500,84500,90500
аренда,Офисное помещение,Центр: Драмтеатр,131-140,4,786,1006,1500,110000,141000,210000
аренда,Свободного назначения,2-й Заречный мкр,51-60,4,776,1190,1800,45000,65000,108000
аренда,Торговое помещение,Червишевский тракт мкр.,31-40,4,943,1471,2500,30000,50000,93000
аренда,Свободного назначения,Центр: Исторический,31-40,4,1000,1100,1125,32700,36000,45000
