Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Сдать в аренду;Войновка мкр.;171.8;103080
Офисное помещение;Сдать в аренду;Центр: КПД;52.6;38000
Свободного назначения;Сдать в аренду;Заречный мкр.;410.0;330000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;94.2;47000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;40.9;80000
Свободного назначения;Сдать в аренду;Плеханово;45.5;59150
Офисное помещение;Сдать в аренду;3-й Заречный мкр;113.6;124300
Свободного назначения;Сдать в аренду;5-й Заречный мкр;106.0;53000
Свободного назначения;Сдать в аренду;Дом Обороны;500.0;600000
Свободного назначения;Сдать в аренду;Дом Обороны;500.0;600000
Торговое помещение;Сдать в аренду;Центр: Дом печати;130.0;169000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;120.0;96000
Торговое помещение;Сдать в аренду;Червишевский тракт мкр.;97.6;98000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;50.0;35000
Свободного назначения;Сдать в аренду;Дом Обороны;190.0;170000
Торговое помещение;Сдать в аренду;Дом Обороны;106.3;170080
Свободного назначения;Сдать в аренду;микрорайон Нефтяников;288.0;150000
Торговое помещение;Сдать в аренду;Дом Обороны;77.5;232500
Торговое помещение;Сдать в аренду;Дом Обороны;84.9;178290
Торговое помещение;Сдать в аренду;4 мкр;52.0;65000
Офисное помещение;Сдать в аренду;Маяк мкр.;450.0;800000
Торговое помещение;Сдать в аренду;Центр: Дом печати;655.0;655000
Торговое помещение;Сдать в аренду;Центр: Дом печати;650.0;390000
База/склад/производство;Сдать в аренду;null;782.5;600000
Торговое помещение;Сдать в аренду;Зубарева д.;120.0;70000
Свободного назначения;Сдать в аренду;микрорайон Рощино;135.3;162360
Свободного назначения;Сдать в аренду;микрорайон Рощино;78.6;94320
Свободного назначения;Сдать в аренду;микрорайон Рощино;59.8;71760
Свободного назначения;Сдать в аренду;микрорайон Рощино;101.9;122280
Свободного назначения;Сдать в аренду;микрорайон Рощино;103.6;124320
Свободного назначения;Сдать в аренду;микрорайон Рощино;93.9;112680
База/склад/производство;Сдать в аренду;Восточный 3 мкр.;2.7;4000
Торговое помещение;Сдать в аренду;Ушакова д.;480.0;336000
Офисное помещение;Сдать в аренду;микрорайон Тюменский-1;212.0;190000
База/склад/производство;Сдать в аренду;ДОК;477.0;310000
База/склад/производство;Сдать в аренду;Заречный мкр.;900.0;300000
Торговое помещение;Сдать в аренду;Югра мкр.;311.6;140220
Свободного назначения;Сдать в аренду;микрорайон Рощино;100.8;120960
Свободного назначения;Сдать в аренду;микрорайон Рощино;113.1;135720
Свободного назначения;Сдать в аренду;микрорайон Рощино;66.1;79320
Свободного назначения;Сдать в аренду;микрорайон Рощино;96.7;116040
Свободного назначения;Сдать в аренду;микрорайон Рощино;79.6;95520
Свободного назначения;Сдать в аренду;микрорайон Рощино;62.9;75480
Свободного назначения;Сдать в аренду;микрорайон Рощино;529.1;634920
Свободного назначения;Сдать в аренду;ДОК;60.0;65000
Свободного назначения;Сдать в аренду;Плеханово;86.7;150000
Свободного назначения;Сдать в аренду;Плеханово;93.9;93900
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;62.0;148900
Свободного назначения;Сдать в аренду;Плеханово;91.1;110000
Свободного назначения;Сдать в аренду;Войновка мкр.;1500.0;950000
Офисное помещение;Сдать в аренду;5-й Заречный мкр;31.0;18000
Торговое помещение;Сдать в аренду;2-й Заречный мкр;49.9;90000
Торговое помещение;Сдать в аренду;Дударева д.;68.0;57885
Свободного назначения;Сдать в аренду;Комарово мкр.;130.0;104000
Торговое помещение;Сдать в аренду;Дом Обороны;72.2;216600
Торговое помещение;Сдать в аренду;Червишевский тракт мкр.;246.2;541640
Торговое помещение;Сдать в аренду;Дом Обороны;59.5;59500
Свободного назначения;Сдать в аренду;Дом Обороны;39.4;63040
Свободного назначения;Сдать в аренду;Дом Обороны;278.3;320045
Торговое помещение;Сдать в аренду;Дом Обороны;95.0;156750
База/склад/производство;Сдать в аренду;Парфёново мкр.;140.0;80000
Офисное помещение;Сдать в аренду;Парфёново мкр.;60.0;30000
Торговое помещение;Сдать в аренду;6 мкр;84.4;126600
База/склад/производство;Сдать в аренду;район пос. Антипино;1485.3;1500000
База/склад/производство;Сдать в аренду;район пос. Антипино;1485.3;1500000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;91.1;200000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;207.2;207200
Торговое помещение;Сдать в аренду;Югра мкр.;79.7;160000
База/склад/производство;Сдать в аренду;Центр: КПД;535.0;400000
Торговое помещение;Сдать в аренду;2 мкр;331.0;397000
Торговое помещение;Сдать в аренду;2 мкр;232.0;278000
Свободного назначения;Сдать в аренду;Дударева д.;255.3;190000
База/склад/производство;Сдать в аренду;null;240.0;156000
База/склад/производство;Сдать в аренду;Новотуринский;1480.0;750000
Торговое помещение;Сдать в аренду;Лесобаза мкр.;61.5;75000
Свободного назначения;Сдать в аренду;Центр: Дом печати;88.0;106000
Свободного назначения;Сдать в аренду;Центр: Дом печати;75.0;105400
Свободного назначения;Сдать в аренду;Плеханово;92.2;46100
Свободного назначения;Сдать в аренду;Европейский мкр.;157.0;157000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;61.5;75000
Торговое помещение;Сдать в аренду;Патрушева д.;162.0;243000
