Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район;Дата закрытия заявки
Офисное помещение;Продажа;15,2;2075000;136513,16;Продан;Дом Обороны;2026-01
Офисное помещение;Продажа;16,2;1785000;110185,18;Продан;2 мкр;2025-01
Офисное помещение;Продажа;16,4;1870000;114024,39;Продан;2 мкр;2025-01
Офисное помещение;Продажа;16,5;3366000;204000;Продан;Центр: Исторический;2025-07
Офисное помещение;Продажа;17,2;1720000;100000;Продан;1 мкр;2025-12
Офисное помещение;Продажа;17,8;2200000;123595,51;Продан;1-й Заречный мкр;2025-12
Офисное помещение;Продажа;17,9;1969000;110000;Продан;Центр: КПД;2025-12
Офисное помещение;Продажа;17,9;3866400;216000;Продан;Центр: Исторический;2025-05
Офисное помещение;Продажа;18,6;2300000;123655,91;Продан;Центр: Исторический;2025-08
Офисное помещение;Продажа;18,9;3628800;192000;Продан;Центр: Исторический;2025-06
Офисное помещение;Продажа;19,4;3350000;172680,42;Продан;Червишевский тракт мкр.;2025-12
Офисное помещение;Продажа;19,8;1980000;100000;Продан;1 мкр;2025-12
Офисное помещение;Продажа;20;2500000;125000;Продан;1 мкр;2025-12
Офисное помещение;Продажа;20,2;3636000;179999,99;Продан;Центр: Студгородок;2026-02
Офисное помещение;Продажа;21;2310000;110000;Продан;Центр: КПД;2025-06
Офисное помещение;Продажа;21,3;1404000;65915,5;Продан;Центр: КПД;2025-12
Офисное помещение;Продажа;21,5;2365000;110000;Продан;Центр: КПД;2025-08
Офисное помещение;Продажа;21,7;3499000;161244,23;Продан;Центр: Исторический;2025-10
Офисное помещение;Продажа;22;2200000;100000;Продан;Центр: КПД;2025-09
Офисное помещение;Продажа;22;2420000;110000;Продан;Центр: КПД;2025-10
Офисное помещение;Продажа;22,1;2200000;99547,51;Продан;Центр: КПД;2025-10
Офисное помещение;Продажа;25,9;2590000;100000;Продан;1 мкр;2025-12
Офисное помещение;Продажа;27,5;4061250;147681,82;Продан;Дом Обороны;2025-09
Офисное помещение;Продажа;31,2;3400000;108974,36;Продан;Центр: Исторический;2025-12
Офисное помещение;Продажа;31,5;3465000;110000;Продан;Центр: КПД;2025-07
Офисное помещение;Продажа;31,6;3476000;110000;Продан;Центр: КПД;2025-07
Офисное помещение;Продажа;32,1;3531000;110000,01;Продан;Центр: КПД;2025-08
Офисное помещение;Продажа;32,2;3300000;102484,47;Продан;Центр: Исторический;2025-11
Офисное помещение;Продажа;32,6;3586000;110000,01;Продан;Центр: КПД;2025-10
Офисное помещение;Продажа;33,1;3641000;110000,01;Продан;Центр: КПД;2025-09
Офисное помещение;Продажа;33,2;3320000;100000;Продан;Центр: КПД;2025-12
Офисное помещение;Продажа;33,3;3663000;110000;Продан;Центр: КПД;2025-07
Офисное помещение;Продажа;33,3;3663000;110000;Продан;Центр: КПД;2025-08
Офисное помещение;Продажа;33,3;5350000;160660,66;Продан;Дом Обороны;2025-10
Офисное помещение;Продажа;34;3700000;108823,53;Продан;Электрон;2026-02
Офисное помещение;Продажа;36,5;4910000;134520,55;Продан;Центр: Исторический;2025-12
Офисное помещение;Продажа;39;5000000;128205,13;Продан;Центр: Исторический;2025-02
Офисное помещение;Продажа;40,1;3700000;92269,33;Продан;Центр: Драмтеатр;2025-02
Офисное помещение;Продажа;41,8;5600000;133971,29;Продан;Центр: Исторический;2025-03
Офисное помещение;Продажа;45,3;4500000;99337,75;Продан;1 мкр;2025-11
Офисное помещение;Продажа;47,7;6000000;125786,16;Продан;Тюменский 1-й мкр.;2025-02
Офисное помещение;Продажа;50,8;5550000;109251,97;Продан;Центр: Драмтеатр;2025-02
Офисное помещение;Продажа;50,9;4500000;88408,64;Продан;1 мкр;2026-02
Офисное помещение;Продажа;55,4;4850000;87545,12;Продан;1 мкр;2025-12
Офисное помещение;Продажа;67,7;6770000;100000;Продан;Центр: КПД;2025-11
Офисное помещение;Продажа;68,5;7800000;113868,61;Продан;Центр: Драмтеатр;2025-02
Офисное помещение;Продажа;68,5;10545000;153941,61;Продан;Центр: Драмтеатр;2025-06
Офисное помещение;Продажа;75,7;4920000;64993,4;Продан;1 мкр;2025-01
Офисное помещение;Продажа;75,7;5800000;76618,23;Продан;1 мкр;2025-12
Офисное помещение;Продажа;77,9;5070000;65083,44;Продан;1 мкр;2025-01
Офисное помещение;Продажа;78,2;5070000;64833,76;Продан;1 мкр;2025-01
Офисное помещение;Продажа;82,8;8400000;101449,27;Продан;Дом Обороны;2026-04
Офисное помещение;Продажа;83,4;4700000;56354,92;Продан;Центр: КПД;2025-12
Офисное помещение;Продажа;90,8;6650000;73237,88;Продан;Центр: Исторический;2025-10
Офисное помещение;Продажа;91,1;10120000;111086,72;Продан;2 мкр;2025-01
Офисное помещение;Продажа;101,7;8100000;79646,02;Продан;Центр: КПД;2025-04
Офисное помещение;Продажа;102,5;17000000;165853,66;Продан;Центр: Исторический;2025-03
Офисное помещение;Продажа;103,3;4000000;38722,17;Продан;Центр: Драмтеатр;2025-03
Офисное помещение;Продажа;116,2;15000000;129087,78;Продан;Центр: Исторический;2025-03
