Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район
База/склад/производство;Продажа;4,5;420000;93333,33;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,5;440000;97777,78;Активный;Рощино мкр.
База/склад/производство;Продажа;4,5;450000;100000;Активный;микрорайон ДОК
База/склад/производство;Продажа;4,5;500000;111111,11;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,5;550000;122222,22;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;4,5;650000;144444,44;Активный;Европейский мкр.
База/склад/производство;Продажа;4,6;350000;76086,96;Активный;Дом Обороны
База/склад/производство;Продажа;4,6;352000;76521,74;Активный;Дом Обороны
База/склад/производство;Продажа;4,6;352000;76521,74;Активный;Дом Обороны
База/склад/производство;Продажа;4,6;352000;76521,74;Активный;Дом Обороны
База/склад/производство;Продажа;4,6;400000;86956,52;Активный;Заречный мкр.
База/склад/производство;Продажа;4,6;420000;91304,35;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,6;420000;91304,35;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,6;500000;108695,65;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;4,6;530000;115217,39;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,6;550000;119565,22;Активный;МЖК
База/склад/производство;Продажа;4,6;830000;180434,79;Активный;Центр: Дом печати
База/склад/производство;Продажа;4,7;274400;58382,98;Активный;МЖК
База/склад/производство;Продажа;4,7;350000;74468,09;Активный;Дом Обороны
База/склад/производство;Продажа;4,7;350000;74468,09;Активный;Дом Обороны
База/склад/производство;Продажа;4,7;359000;76382,98;Активный;Дом Обороны
База/склад/производство;Продажа;4,7;359000;76382,98;Активный;Дом Обороны
База/склад/производство;Продажа;4,7;359000;76382,98;Активный;Дом Обороны
База/склад/производство;Продажа;4,7;440000;93617,03;Активный;Московский тракт мкр.
База/склад/производство;Продажа;4,7;580000;123404,26;Активный;Московский тракт мкр.
База/склад/производство;Продажа;4,7;600000;127659,58;Активный;Центр: Дом печати
База/склад/производство;Продажа;4,7;830000;176595,75;Активный;Центр: Дом печати
База/склад/производство;Продажа;4,7;990000;210638,31;Активный;Европейский мкр.
База/склад/производство;Продажа;4,7;1000000;212765,97;Активный;Мыс мкр.
База/склад/производство;Продажа;4,71;440000;93418,26;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,8;279600;58250;Активный;МЖК
База/склад/производство;Продажа;4,8;320000;66666,66;Активный;Дом Обороны
База/склад/производство;Продажа;4,8;320000;66666,66;Активный;Княжева мкр.
База/склад/производство;Продажа;4,8;330000;68750;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,8;366000;76250;Активный;Дом Обороны
База/склад/производство;Продажа;4,8;366000;76250;Активный;Дом Обороны
База/склад/производство;Продажа;4,8;366000;76250;Активный;Дом Обороны
База/склад/производство;Продажа;4,8;378000;78750;Активный;Дом Обороны
База/склад/производство;Продажа;4,8;378000;78750;Активный;Дом Обороны
База/склад/производство;Продажа;4,81;1150000;239085,24;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;4,9;284800;58122,45;Активный;МЖК
База/склад/производство;Продажа;4,9;340000;69387,75;Активный;Матмасы мкр.
База/склад/производство;Продажа;4,9;400000;81632,65;Активный;микрорайон Войновка
База/склад/производство;Продажа;4,9;420000;85714,28;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;4,9;450000;91836,73;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,9;500000;102040,81;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;4,9;550000;112244,9;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;4,9;600000;122448,98;Активный;ДОК
База/склад/производство;Продажа;5;300000;60000;Активный;Дом Обороны
База/склад/производство;Продажа;5;300000;60000;Активный;Матмасы мкр.
База/склад/производство;Продажа;5;355000;71000;Активный;Дом Обороны
База/склад/производство;Продажа;5;380000;76000;Активный;Дом Обороны
База/склад/производство;Продажа;5;380000;76000;Активный;Дом Обороны
База/склад/производство;Продажа;5;430000;86000;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;5;470000;94000;Активный;Студенческий городок СХИ
База/склад/производство;Продажа;5;470000;94000;Активный;Студенческий городок СХИ
База/склад/производство;Продажа;5;520000;104000;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;5;590000;118000;Активный;Центр: Дом печати
База/склад/производство;Продажа;5;590000;118000;Активный;Центр: Дом печати
База/склад/производство;Продажа;5;990000;198000;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;5;1850000;370000;Активный;Европейский мкр.
База/склад/производство;Продажа;5,03;450000;89463,22;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;5,1;350000;68627,45;Активный;Дом Обороны
База/склад/производство;Продажа;5,1;350000;68627,45;Активный;Матмасы мкр.
База/склад/производство;Продажа;5,1;387000;75882,35;Активный;Дом Обороны
База/склад/производство;Продажа;5,1;387000;75882,35;Активный;Дом Обороны
База/склад/производство;Продажа;5,1;387000;75882,35;Активный;Дом Обороны
База/склад/производство;Продажа;5,1;396000;77647,06;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;5,1;399000;78235,3;Активный;Дом Обороны
База/склад/производство;Продажа;5,1;500000;98039,22;Активный;ДОК
База/склад/производство;Продажа;5,1;650000;127450,98;Активный;Европейский мкр.
База/склад/производство;Продажа;5,15;700000;135922,33;Активный;1-й Заречный мкр
База/склад/производство;Продажа;5,2;300400;57769,23;Активный;МЖК
