Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Продажа;5-й Заречный мкр;240.0;12000000
Свободного назначения;Продажа;5-й Заречный мкр;138.0;6900000
Свободного назначения;Продажа;5-й Заречный мкр;109.2;14500000
Свободного назначения;Продажа;5-й Заречный мкр;364.6;14584000
Свободного назначения;Продажа;микрорайон Мелиораторов;86.9;12164000
Свободного назначения;Продажа;микрорайон Мелиораторов;108.5;14790240
Свободного назначения;Продажа;Центр: Дом печати;178.7;3574000
Свободного назначения;Продажа;ДОК;73.1;8850000
Свободного назначения;Продажа;У озера квартал;68.0;8500000
Свободного назначения;Продажа;Лесобаза мкр.;64.3;8050000
Свободного назначения;Продажа;Лесобаза мкр.;43.7;5680000
Свободного назначения;Продажа;У озера квартал;43.3;5650000
Свободного назначения;Продажа;У озера квартал;43.3;5650000
Свободного назначения;Продажа;У озера квартал;66.3;8285000
Свободного назначения;Продажа;У озера квартал;69.8;8720000
Свободного назначения;Продажа;У озера квартал;70.7;8830000
Свободного назначения;Продажа;Дударева д.;59.1;11235000
Свободного назначения;Продажа;2-й Заречный мкр;240.8;24080000
Свободного назначения;Продажа;2-й Заречный мкр;229.1;22900000
Свободного назначения;Продажа;2-й Заречный мкр;456.3;45630000
Свободного назначения;Продажа;2-й Заречный мкр;282.6;39564000
Свободного назначения;Продажа;2-й Заречный мкр;774.5;70000000
Свободного назначения;Продажа;Ново-Комарово;81.8;18000000
Свободного назначения;Продажа;Ново-Комарово;72.8;16100000
Свободного назначения;Продажа;Ново-Комарово;78.5;17300000
Свободного назначения;Продажа;Дербыши д.;102.9;12348000
Свободного назначения;Продажа;Дербыши д.;80.7;10491000
Свободного назначения;Продажа;Дербыши д.;81.2;10556000
Свободного назначения;Продажа;Дербыши д.;102.9;12348000
Свободного назначения;Продажа;Дербыши д.;81.7;10621000
Свободного назначения;Продажа;Дом Обороны;942.9;94290000
Свободного назначения;Продажа;Мыс мкр.;111.6;14097052
Свободного назначения;Продажа;Центр: КПД;45.8;11080000
Свободного назначения;Продажа;1 мкр;30.0;6240000
Торговое помещение;Продажа;Тугулым пгт;49.9;9500000
Свободного назначения;Продажа;Центр: Дом печати;110.2;20000000
Свободного назначения;Продажа;Центр: КПД;110.0;25320000
Свободного назначения;Продажа;Центр: КПД;122.1;27100000
Свободного назначения;Продажа;Центр: КПД;78.0;18010000
Свободного назначения;Продажа;Центр: КПД;94.6;21790000
Свободного назначения;Продажа;Центр: КПД;131.2;29570000
Свободного назначения;Продажа;Центр: КПД;134.8;30020000
Свободного назначения;Продажа;Центр: КПД;72.9;11300000
Свободного назначения;Продажа;Центр: КПД;107.3;17500000
Свободного назначения;Продажа;Центр: КПД;95.7;15350000
Свободного назначения;Продажа;Центр: КПД;129.8;18350000
Свободного назначения;Продажа;Тюменский 1-й мкр.;158.6;25000000
Свободного назначения;Продажа;Заречный мкр.;95.1;23440000
Офисное помещение;Продажа;Центр: Драмтеатр;95.4;9399000
Свободного назначения;Продажа;Заречный мкр.;70.5;18300000
База/склад/производство;Продажа;ДОК;3.8;350000
Торговое помещение;Продажа;Дом Обороны;1439.5;320000000
Торговое помещение;Продажа;микрорайон Труфаново;158.0;19000000
Коммерческий участок;Продажа;Кулаково с.;1129.0;20500000
Свободного назначения;Продажа;Мыс мкр.;98.3;13160090
Свободного назначения;Продажа;Мыс мкр.;82.3;11851295
База/склад/производство;Продажа;Червишевский тракт мкр.;2.0;290000
Коммерческий участок;Продажа;null;10000.0;17000000
База/склад/производство;Продажа;Московский тракт мкр.;3.9;420000
Свободного назначения;Продажа;Дом Обороны;193.8;18999000
Свободного назначения;Продажа;4 мкр;143.1;18999000
Торговое помещение;Продажа;Дом Обороны;84.9;21395000
Офисное помещение;Продажа;Центр: Исторический;418.7;50000000
Торговое помещение;Продажа;Дом Обороны;72.2;28158000
Торговое помещение;Продажа;Дом Обороны;59.1;24822000
Торговое помещение;Продажа;Дом Обороны;77.5;29062500
Торговое помещение;Продажа;Дом Обороны;41.2;18145000
Торговое помещение;Продажа;Дом Обороны;71.3;24000000
База/склад/производство;Продажа;Тюменская слобода мкр.;2.7;280000
База/склад/производство;Продажа;null;17199.0;10000000
Свободного назначения;Продажа;Тура с/о;370.0;30000000
Торговое помещение;Продажа;Сладково с;91.0;4400000
Торговое помещение;Продажа;Дом Обороны;2930.0;300000000
Свободного назначения;Продажа;4 мкр;4931.0;270000000
Свободного назначения;Продажа;Центр: Дом печати;65.1;5500000
Торговое помещение;Продажа;Каскара с.;243.6;25750000
Коммерческий участок;Продажа;Ленинский округ;10000.0;17000000
Коммерческий участок;Продажа;Плодовое с/о (Велижанский тракт);10000.0;17000000
База/склад/производство;Продажа;Тюменская слобода мкр.;5.4;465000
Коммерческий участок;Продажа;Созоново;499.0;900000
Торговое помещение;Продажа;null;370.0;31900000
База/склад/производство;Продажа;Утешевский п.;413.0;8800000
